City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,norton,-17.8833,30.7,22.67,43,2,3.35,ZW,1677382740
83,mgandu,-5.95,34.1333,23.9,36,100,3.83,TZ,1680982740
84,kavieng,-2.5744,150.7967,26.47,79,100,1.87,PG,1706182740
85,olongapo,14.8292,120.2828,26.84,78,20,2.57,PH,1698982740
86,cherskiy,68.75,161.3,-33.26,99,69,1.93,RU,1709782740
87,vardo,70.3705,31.1107,-3.01,86,75,5.66,NO,1673782740
88,sao filipe,14.8961,-24.4956,22.2,65,72,1.8,CV,1666582740
89,jamestown,42.097,-79.2353,2.23,48,0,5.66,US,1652182740
90,jonkoping,57.7814,14.1562,1.88,100,100,3.6,SE,1673782740
91,slave lake,55.2834,-114.769,-4.01,68,100,9.77,CA,1644982740
92,ribeira grande,38.5167,-28.7,16.22,67,40,3.13,PT,1666582740
93,mar del plata,-38.0023,-57.5575,29.01,23,0,8.23,AR,1659382740
94,marsaxlokk,35.8419,14.5431,16.71,82,0,2.57,MT,1673782740
95,asau,46.4333,26.4,-1.49,99,100,1.57,RO,1677382740
96,nikolskoye,59.7035,30.7861,-4.06,95,100,3.4,RU,1680982740
97,port alfred,-33.5906,26.891,18.43,89,100,6.23,ZA,1677382740
98,mercedes,-34.6515,-59.4307,35.91,13,44,3.19,AR,1659382740
99,severo-kurilsk,50.6789,156.125,-4.13,63,97,9.36,RU,1709782740
100,lasa,46.6166,10.7002,5.49,98,86,2.07,IT,1673782740
101,soto la marina,23.7667,-98.2167,28.68,56,15,4.11,MX,1648582740
102,mahibadhoo,3.7833,72.9667,26.11,81,100,3.21,MV,1688182740
103,chesterton,41.6106,-87.0642,4.44,45,0,7.72,US,1648582740
104,rovenki,48.0833,39.3776,-8.33,63,44,7.18,UA,1677382740
105,manado,1.487,124.8455,24.43,100,40,1.03,ID,1698982740
106,demyansk,57.643,32.466,-4.16,75,100,4.53,RU,1680982740
107,kifri,34.6959,44.9661,16.17,55,98,0.68,IQ,1680982740
108,cape town,-33.9258,18.4232,17.93,62,20,8.75,ZA,1677382740
109,dusti,37.3481,68.664,5.94,47,99,1.87,TJ,1688182740
110,thinadhoo,0.5333,72.9333,27.53,69,100,2.99,MV,1688182740
111,esna,25.2934,32.554,20.01,41,100,5.95,EG,1677382740
112,berlevag,70.8578,29.0864,-5.11,79,0,4.63,NO,1673782740
113,kapaa,22.0752,-159.319,26.18,86,75,2.24,US,1634182740
114,pevek,69.7008,170.3133,-17.2,95,100,5.3,RU,1713382740
115,gamba,-2.65,10.0,25.25,87,100,2.28,GA,1673782740
116,saint-philippe,-21.3585,55.7679,22.77,81,47,3.7,RE,1684582740
117,kouango,4.9934,19.9619,24.85,45,8,1.68,CF,1673782740
118,northam,51.0333,-4.2167,5.22,85,100,5.35,GB,1670182740
119,pouembout,-21.1333,164.9,24.56,92,100,3.48,NC,1709782740
120,mitu,1.1983,-70.1733,27.75,70,100,0.94,CO,1652182740
121,lavrentiya,65.5833,-171.0,0.24,97,100,11.46,RU,1713382740
122,saryg-sep,51.5,95.6,-27.11,97,100,0.8,RU,1695382740
123,la ronge,55.1001,-105.2842,-4.86,68,100,12.86,CA,1648582740
124,saint george,37.1041,-113.5841,15.8,45,0,2.06,US,1644982740
125,cidreira,-30.1811,-50.2056,23.37,90,100,2.38,BR,1659382740
126,plettenberg bay,-34.0527,23.3716,15.35,76,48,1.12,ZA,1677382740
127,mikhaylovka,50.06,43.2379,-11.23,73,2,3.33,RU,1680982740
128,hithadhoo,-0.6,73.0833,27.37,76,100,3.95,MV,1688182740
129,san cristobal,7.7669,-72.225,23.1,58,29,2.34,VE,1655782740
130,oussouye,12.485,-16.5469,26.1,73,100,3.24,SN,1670182740
131,yar-sale,66.8333,70.8333,-8.94,90,69,5.28,RU,1688182740
132,cabo san lucas,22.8909,-109.9124,29.61,65,20,4.63,MX,1644982740
133,fortuna,40.5982,-124.1573,11.48,92,40,5.66,US,1641382740
134,kedrovyy,56.1667,91.8167,-24.77,95,41,1.24,RU,1695382740
135,nhulunbuy,-12.2333,136.7667,24.34,94,73,0.0,AU,1704382740
136,demba,-5.51,22.2667,18.17,99,100,0.8,CD,1677382740
137,olinda,-8.0089,-34.8553,27.85,65,40,3.09,BR,1659382740
138,kasempa,-13.4584,25.8338,23.16,56,99,2.45,ZM,1677382740
139,faanui,-16.4833,-151.75,26.34,79,17,6.96,PF,1634182740
140,cayenne,4.9333,-52.3333,27.02,89,75,4.63,GF,1659382740
141,margate,51.3813,1.3862,5.73,82,100,2.24,GB,1670182740
142,kasongo-lunda,-6.4667,16.8167,20.55,99,100,0.34,CD,1673782740
143,tura,25.5198,90.2201,15.58,85,0,1.76,IN,1689982740
144,bubaque,11.2833,-15.8333,26.7,63,73,4.29,GW,1670182740
145,hobart,-42.8794,147.3294,12.92,96,75,10.8,AU,1709782740
146,sebu,6.22,124.6936,20.07,93,76,0.46,PH,1698982740
147,butaritari,3.0707,172.7902,26.93,79,25,6.31,KI,1713382740
148,victoria,22.2855,114.1577,20.53,79,100,4.92,HK,1698982740
149,ahipara,-35.1667,173.1667,17.24,67,0,1.11,NZ,1716982740
150,vao,-22.6667,167.4833,24.51,88,100,9.14,NC,1709782740
151,ketchikan,55.3422,-131.6461,0.99,74,0,6.69,US,1637782740
152,kirakira,-10.4544,161.9205,26.72,83,100,3.0,SB,1709782740
153,vila franca do campo,37.7167,-25.4333,14.23,76,13,4.06,PT,1666582740
154,broken hill,-31.95,141.4333,19.29,51,50,5.86,AU,1707982740
155,takaka,-40.85,172.8,16.42,56,3,1.61,NZ,1716982740
156,berbera,10.4396,45.0143,24.89,63,51,1.25,SO,1680982740
157,pangnirtung,66.1451,-65.7125,-3.07,90,100,5.06,CA,1652182740
158,muncar,-8.4333,114.3333,24.13,90,96,1.14,ID,1695382740
159,nantucket,41.2835,-70.0995,7.08,53,0,5.14,US,1652182740
160,narsaq,60.9167,-46.05,-10.88,61,0,3.8,GL,1659382740
161,guerrero negro,27.9769,-114.0611,20.62,76,100,4.7,MX,1644982740
162,bathsheba,13.2167,-59.5167,29.34,89,40,4.63,BB,1655782740
163,codrington,-38.2667,141.9667,13.24,82,100,8.0,AU,1709782740
164,east london,-33.0153,27.9116,20.07,88,100,7.55,ZA,1677382740
165,pala,9.3642,14.9046,25.72,21,70,2.51,TD,1673782740
166,hobyo,5.3505,48.5268,26.27,72,61,7.71,SO,1680982740
167,esperance,-33.8667,121.9,15.56,85,87,5.66,AU,1698982740
168,san patricio,28.017,-97.5169,20.51,72,100,2.32,US,1648582740
169,mahebourg,-20.4081,57.7,25.16,73,20,3.09,MU,1684582740
170,upernavik,72.7868,-56.1549,-6.15,72,100,2.44,GL,1659382740
171,kashi,39.4547,75.9797,-5.44,42,62,2.0,CN,1698982740
172,grand gaube,-20.0064,57.6608,25.22,68,73,2.24,MU,1684582740
173,carnarvon,-24.8667,113.6333,20.66,80,31,8.44,AU,1698982740
174,tila,17.4,-92.4833,27.56,54,2,2.81,MX,1648582740
175,totness,5.8833,-56.3167,23.78,92,100,2.14,SR,1659382740
176,aklavik,68.2191,-135.0107,-18.0,85,75,3.09,CA,1644982740
177,cairns,-16.9167,145.7667,22.26,91,2,4.12,AU,1706182740
178,pasighat,28.0667,95.3333,15.75,54,0,1.7,IN,1689982740
179,conceicao da barra,-18.5933,-39.7322,21.73,95,100,4.24,BR,1659382740
180,preobrazheniye,42.9019,133.9064,-11.91,60,0,3.15,RU,1706182740
181,iqaluit,63.7506,-68.5145,-1.15,92,100,9.77,CA,1652182740
182,chuy,-33.6971,-53.4616,23.68,70,48,4.7,UY,1659382740
183,benghazi,32.1167,20.0667,19.06,53,86,6.58,LY,1677382740
184,mareeba,-17.0,145.4333,19.69,92,2,0.97,AU,1706182740
185,leh,34.1667,77.5833,-8.04,43,63,0.5,IN,1689982740
186,saint anthony,45.0205,-93.218,1.01,53,0,6.69,US,1648582740
187,bandundu,-3.3167,17.3667,21.92,96,100,2.32,CD,1673782740
188,bastia,42.6667,9.3333,12.94,87,0,0.51,FR,1673782740
189,nalut,30.3333,10.85,18.68,20,17,3.39,LY,1677382740
190,huesca,42.1362,-0.4087,-0.62,100,4,1.03,ES,1673782740
191,puerto ayora,-0.7393,-90.3518,27.98,87,54,2.68,EC,1648582740
192,mabaruma,8.2,-59.7833,24.8,95,93,1.42,GY,1655782740
193,redding,40.5865,-122.3917,8.14,93,100,3.09,US,1641382740
194,fairbanks,64.8378,-147.7164,-3.02,87,100,3.6,US,1637782740
195,provideniya,64.3833,-173.3,0.68,98,100,6.01,RU,1713382740
196,port said,31.2565,32.2841,19.99,77,40,5.14,EG,1677382740
197,belmonte,-15.8631,-38.8828,23.49,87,100,5.17,BR,1659382740
198,nome,64.5011,-165.4064,1.04,81,100,10.8,US,1637782740
199,bethel,41.3712,-73.414,6.63,47,0,1.54,US,1652182740
200,orthez,43.4884,-0.7724,5.43,86,0,2.72,FR,1673782740
